"";"date";"vac1";"vac2";"vac3"
"1";2021-01-01;23;0;0
"2";2021-01-02;15;0;0
"3";2021-01-03;29;0;0
"4";2021-01-04;28;0;0
"5";2021-01-05;3429;0;0
"6";2021-01-06;9125;0;0
"7";2021-01-07;6605;0;0
"8";2021-01-08;1651;0;0
"9";2021-01-09;169;0;0
"10";2021-01-10;134;0;0
"11";2021-01-11;410;0;0
"12";2021-01-12;4348;0;0
"13";2021-01-13;9930;0;0
"14";2021-01-14;8576;0;0
"15";2021-01-15;4598;0;0
"16";2021-01-16;838;0;0
"17";2021-01-17;379;0;0
"18";2021-01-18;1315;0;0
"19";2021-01-19;4640;0;0
"20";2021-01-20;10148;0;0
"21";2021-01-21;8583;0;0
"22";2021-01-22;3421;0;0
"23";2021-01-23;407;0;0
"24";2021-01-24;88;0;0
"25";2021-01-25;599;0;0
"26";2021-01-26;2355;0;0
"27";2021-01-27;11662;0;0
"28";2021-01-28;11015;0;0
"29";2021-01-29;3913;0;0
"30";2021-01-30;201;0;0
"31";2021-01-31;178;0;0
"32";2021-02-01;244;0;0
"33";2021-02-02;6413;0;0
"34";2021-02-03;25371;0;0
"35";2021-02-04;26236;0;0
"36";2021-02-05;10832;0;0
"37";2021-02-06;860;0;0
"38";2021-02-07;344;0;0
"39";2021-02-08;129;0;0
"40";2021-02-09;5665;0;0
"41";2021-02-10;23216;0;0
"42";2021-02-11;21182;0;0
"43";2021-02-12;8202;0;0
"44";2021-02-13;952;0;0
"45";2021-02-14;140;0;0
"46";2021-02-15;866;0;0
"47";2021-02-16;6204;0;0
"48";2021-02-17;21942;0;0
"49";2021-02-18;19104;0;0
"50";2021-02-19;10854;0;0
"51";2021-02-20;564;0;0
"52";2021-02-21;89;0;0
"53";2021-02-22;2624;0;0
"54";2021-02-23;6074;0;0
"55";2021-02-24;11240;0;0
"56";2021-02-25;11245;0;0
"57";2021-02-26;8449;0;0
"58";2021-02-27;497;0;0
"59";2021-02-28;556;0;0
"60";2021-03-01;6095;0;0
"61";2021-03-02;10775;0;0
"62";2021-03-03;18076;0;0
"63";2021-03-04;16429;0;0
"64";2021-03-05;12102;0;0
"65";2021-03-06;491;0;0
"66";2021-03-07;185;0;0
"67";2021-03-08;5164;0;0
"68";2021-03-09;12858;0;0
"69";2021-03-10;21465;0;0
"70";2021-03-11;12099;0;0
"71";2021-03-12;2444;0;0
"72";2021-03-13;144;0;0
"73";2021-03-14;59;0;0
"74";2021-03-15;183;0;0
"75";2021-03-16;5956;0;0
"76";2021-03-17;23580;0;0
"77";2021-03-18;21412;0;0
"78";2021-03-19;7049;0;0
"79";2021-03-20;622;0;0
"80";2021-03-21;273;0;0
"81";2021-03-22;1673;0;0
"82";2021-03-23;13419;0;0
"83";2021-03-24;39676;0;0
"84";2021-03-25;39264;0;0
"85";2021-03-26;17666;0;0
"86";2021-03-27;855;0;0
"87";2021-03-28;408;0;0
"88";2021-03-29;4941;0;0
"89";2021-03-30;32750;0;0
"90";2021-03-31;37433;0;0
"91";2021-04-01;9724;0;0
"92";2021-04-02;4491;0;0
"93";2021-04-03;374;0;0
"94";2021-04-04;462;0;0
